track_id,g_S,g_A,g_D,arm,context_label,viol
91,0.3407452181353404,0.0,0.375,A,sparse_day,No violation of traffic lights
94,0.1563251460455085,0.8998998998999014,0.0,A,sparse_day,No violation of traffic lights
95,0.40954216608519334,0.0,0.5,A,dense_day,No violation of traffic lights
96,0.16697386945395182,0.0,0.125,A,sparse_day,No violation of traffic lights
99,0.21150591065637808,0.0,0.375,B,sparse_day,No violation of traffic lights
102,0.16308777866739732,0.0,0.125,A,sparse_day,red-light running
103,0.47369953144877036,0.8665331998665254,0.125,B,sparse_day,No violation of traffic lights
104,0.2155296080797368,1.0,0.375,A,sparse_day,No violation of traffic lights
105,0.6090559602539457,0.0,0.25,A,sparse_day,No violation of traffic lights
109,0.028114008394393673,0.2659325992659044,0.375,B,sparse_day,No violation of traffic lights
110,0.16462940679326324,0.0,0.375,B,sparse_day,No violation of traffic lights
111,0.23176896479237158,0.9666332999666338,0.625,A,dense_day,No violation of traffic lights
116,0.23625063121650938,1.0,0.5,A,dense_day,No violation of traffic lights
117,0.2297028292796876,1.0,0.375,A,sparse_day,red-light running
118,0.5666353040185623,0.8998998998998917,0.5,A,dense_day,No violation of traffic lights
121,0.19031479000083437,0.6996996996996847,0.375,A,sparse_day,No violation of traffic lights
123,0.41601916957627944,0.0,0.25,A,sparse_day,No violation of traffic lights
124,0.4388353109705054,0.0,0.25,A,sparse_day,No violation of traffic lights
125,0.29547734134583564,0.0,0.375,B,sparse_day,No violation of traffic lights
127,0.29245525546741413,0.0,0.25,B,sparse_day,No violation of traffic lights
129,0.28956223849494095,0.0,1.0,A,dense_day,No violation of traffic lights
131,0.590028513885534,1.0,0.25,B,sparse_day,No violation of traffic lights
133,0.31131427808535483,0.5662328995662198,0.25,B,sparse_day,No violation of traffic lights
134,0.27156283025346917,0.0,1.0,A,dense_day,No violation of traffic lights
135,0.15056005096489308,0.16583249916581544,0.25,A,sparse_day,red-light running
136,0.1064454851250765,0.0,0.5,B,dense_day,No violation of traffic lights
137,0.25287777126118743,0.0,0.625,A,dense_day,No violation of traffic lights
139,0.40240180095334516,1.0,1.0,A,dense_day,No violation of traffic lights
140,0.2106397658340827,0.0,0.375,B,sparse_day,No violation of traffic lights
141,0.4084709219435864,0.7664330997664268,0.125,B,sparse_day,yellow-light running 
144,0.39505657902559543,0.0,0.75,A,dense_day,No violation of traffic lights
146,0.3798398642869751,1.0,0.875,A,dense_day,No violation of traffic lights
147,0.28612599963778673,1.0,0.375,A,sparse_day,No violation of traffic lights
148,0.17703468112577317,0.0,0.375,A,sparse_day,No violation of traffic lights
150,0.2794699152482755,0.0,0.0,B,sparse_day,No violation of traffic lights
151,0.6798261187215807,0.0,0.25,A,sparse_day,No violation of traffic lights
152,0.32302246832836884,0.0,0.375,B,sparse_day,No violation of traffic lights
154,0.3502368726065709,0.5328661995328536,0.375,B,sparse_day,No violation of traffic lights
156,0.2996823526521524,0.699699699699704,0.25,B,sparse_day,No violation of traffic lights
159,0.21543655166789957,0.0,0.625,A,dense_day,No violation of traffic lights
162,0.20566771968465342,0.0,0.25,B,sparse_day,No violation of traffic lights
163,0.44163413281864905,0.0,0.25,B,sparse_day,No violation of traffic lights
164,0.2855985525445822,0.0,0.5,A,dense_day,No violation of traffic lights
166,0.2684526148253302,0.5662328995662198,0.125,A,sparse_day,red-light running
167,0.31038951092253175,0.0,0.0,A,sparse_day,No violation of traffic lights
168,0.4639649979961827,0.0,0.25,B,sparse_day,No violation of traffic lights
170,0.22446259723235965,1.0,0.125,A,sparse_day,red-light running
172,0.220359157870429,0.0,0.25,A,sparse_day,No violation of traffic lights
173,0.7165812381537549,1.0,0.25,A,sparse_day,No violation of traffic lights
174,0.22125907789836285,0.3326659993326563,0.125,A,sparse_day,No violation of traffic lights
179,0.41542250733228003,0.0,0.25,B,sparse_day,No violation of traffic lights
181,0.27788508808762225,0.0,0.25,B,sparse_day,No violation of traffic lights
183,0.2690645697167,0.0,0.25,B,sparse_day,No violation of traffic lights
184,0.36729688796460064,1.0,0.375,B,sparse_day,No violation of traffic lights
188,0.1553078731046026,0.0,0.5,A,dense_day,No violation of traffic lights
190,0.36583582499348555,0.0,0.5,B,dense_day,No violation of traffic lights
192,0.7777819916239603,0.6663329996663379,0.25,B,sparse_day,yellow-light running 
193,0.8345169274392407,0.0,0.375,B,sparse_day,yellow-light running 
194,0.13651250777856674,1.0,0.375,B,sparse_day,red-light running
195,0.7309151103253748,1.0,0.5,A,dense_day,No violation of traffic lights
196,0.5021802906879632,0.9332665999332675,0.5,A,dense_day,No violation of traffic lights
197,0.5474674716695831,1.0,0.625,A,dense_day,No violation of traffic lights
198,0.32223401086295206,0.0,0.75,A,dense_day,No violation of traffic lights
199,0.13503368503810406,0.0,0.5,A,dense_day,No violation of traffic lights
201,0.6012138705316615,0.7997997997998028,0.75,A,dense_day,No violation of traffic lights
203,0.2983561868206382,0.0,0.625,A,dense_day,No violation of traffic lights
204,0.20535715323182438,1.0,0.125,A,sparse_day,No violation of traffic lights
205,0.39874037827663206,0.0,0.5,B,dense_day,No violation of traffic lights
206,0.5605433028109278,1.0,0.25,A,sparse_day,No violation of traffic lights
207,0.29316096664910957,1.0,0.125,A,sparse_day,No violation of traffic lights
208,0.34770353395058146,0.5995995995996055,0.5,A,dense_day,red-light running
209,0.37866345179794286,1.0,0.125,B,sparse_day,No violation of traffic lights
212,0.16235006498652363,0.7664330997664365,0.5,B,dense_day,No violation of traffic lights
213,0.17911730805242346,0.0,0.375,B,sparse_day,No violation of traffic lights
214,0.29090489864522945,1.0,0.375,B,sparse_day,No violation of traffic lights
218,0.25529699319990967,0.899899899899882,0.375,B,sparse_day,No violation of traffic lights
219,0.28217346047151354,1.0,0.25,B,sparse_day,No violation of traffic lights
220,0.5948180408088144,0.0,0.25,B,sparse_day,No violation of traffic lights
221,0.2791446350878191,0.16583249916586407,0.25,B,sparse_day,No violation of traffic lights
224,0.39841937873654837,1.0,0.625,A,dense_day,No violation of traffic lights
225,0.17902714367015607,0.0,0.5,A,dense_day,No violation of traffic lights
228,0.4532596350227013,0.0,0.5,A,dense_day,No violation of traffic lights
230,0.28150606778631987,0.0,0.25,B,sparse_day,No violation of traffic lights
231,0.39885075442070567,0.0,0.0,A,sparse_day,No violation of traffic lights
232,0.5586249373032207,1.0,0.375,A,sparse_day,No violation of traffic lights
234,0.007487839345344366,0.9332665999332675,0.375,B,sparse_day,yellow-light running 
235,0.17702608318403934,0.0,0.375,B,sparse_day,red-light running
237,0.19005730791289233,0.43276609943277433,0.5,B,dense_day,No violation of traffic lights
239,0.2964228073539153,0.599599599599586,0.25,B,sparse_day,No violation of traffic lights
240,0.14732373109515057,0.16583249916584464,0.25,B,sparse_day,No violation of traffic lights
241,0.2598443294760638,0.0,0.625,A,dense_day,No violation of traffic lights
242,0.39337477877438215,0.0,0.5,B,dense_day,No violation of traffic lights
243,0.056236699211161464,0.366032699366042,0.625,A,dense_day,red-light running
244,0.2812172476415799,0.0,0.375,B,sparse_day,No violation of traffic lights
246,0.2857511823481735,0.0,0.625,B,dense_day,No violation of traffic lights
247,0.26795941044785304,0.49949949949948735,0.5,B,dense_day,No violation of traffic lights
250,0.2936623677132568,1.0,0.625,A,dense_day,No violation of traffic lights
251,0.2903635229204158,0.0,0.625,A,dense_day,No violation of traffic lights
254,0.1700180310214866,0.9666332999666338,0.375,A,sparse_day,red-light running
257,0.42644906813179845,1.0,0.375,B,sparse_day,No violation of traffic lights
258,0.3607567887678376,1.0,0.875,A,dense_day,No violation of traffic lights
259,0.2970318340565917,1.0,1.0,A,dense_day,No violation of traffic lights
261,0.4094052342945057,0.0,0.625,A,dense_day,No violation of traffic lights
267,0.03391635729525632,1.0,0.375,B,sparse_day,red-light running
271,0.22942963126159305,0.0,0.375,A,sparse_day,No violation of traffic lights
272,0.36656791623000146,0.0,0.25,A,sparse_day,No violation of traffic lights
273,0.16520054512411855,1.0,0.5,B,dense_day,No violation of traffic lights
274,0.28917891605319856,0.06573239906574602,0.25,B,sparse_day,No violation of traffic lights
275,0.0758052368999132,0.0,0.5,A,dense_day,red-light running
276,0.159761345538338,0.0,0.25,B,sparse_day,No violation of traffic lights
277,0.11623927363771895,0.49949949949948735,0.25,A,sparse_day,red-light running
278,0.30560846593204893,0.0,0.375,B,sparse_day,No violation of traffic lights
281,0.4270327467353896,0.0,0.125,B,sparse_day,No violation of traffic lights
283,0.29886013025364006,0.5662328995662587,0.25,A,sparse_day,No violation of traffic lights
285,0.16804007935459217,0.6996996996996458,0.25,B,sparse_day,red-light running
287,0.29011154764270564,0.0,0.125,A,sparse_day,No violation of traffic lights
289,0.37912650686028343,1.0,0.875,A,dense_day,No violation of traffic lights
290,0.45182600108865323,0.0,0.25,B,sparse_day,No violation of traffic lights
297,0.3174091229264358,0.0,0.375,A,sparse_day,No violation of traffic lights
300,0.3822103624182195,0.23256589923259652,0.25,B,sparse_day,No violation of traffic lights
302,0.4026150704023415,0.0,0.375,A,sparse_day,No violation of traffic lights
303,0.41544332499204906,0.0,0.625,B,dense_day,No violation of traffic lights
305,0.34421193842104375,0.0,0.375,B,sparse_day,No violation of traffic lights
308,0.5617404906828456,0.0,0.25,B,sparse_day,No violation of traffic lights
309,0.3709602680909992,0.0,0.25,B,sparse_day,No violation of traffic lights
312,0.4092882092438524,0.7330663997330702,0.375,B,sparse_day,No violation of traffic lights
314,0.2649215231180012,0.8665331998665351,0.375,B,sparse_day,No violation of traffic lights
315,0.26975569099796626,0.5662328995662587,0.125,B,sparse_day,yellow-light running 
316,0.32767129878930124,1.0,0.375,A,sparse_day,No violation of traffic lights
317,0.3821955121314733,0.0,0.5,A,dense_day,No violation of traffic lights
318,0.32126221689770407,0.532866199532873,0.625,A,dense_day,No violation of traffic lights
319,0.2958187508419517,0.0,0.25,B,sparse_day,No violation of traffic lights
321,0.47362635014832305,0.8665331998665351,0.375,A,sparse_day,No violation of traffic lights
323,0.5640138799374673,1.0,0.0,A,sparse_day,No violation of traffic lights
324,0.49035245125809707,1.0,0.5,A,dense_day,No violation of traffic lights
327,0.5085492265802565,1.0,0.125,A,sparse_day,No violation of traffic lights
329,0.5142342061284145,0.0,0.0,B,sparse_day,No violation of traffic lights
330,0.5190234972608248,0.7664330997664559,0.0,A,sparse_day,No violation of traffic lights
331,0.3686287830408351,1.0,0.125,B,sparse_day,red-light running
332,0.40470354940606784,0.0,0.25,B,sparse_day,No violation of traffic lights
333,0.46907268848914974,0.0,0.125,B,sparse_day,No violation of traffic lights
336,0.2743851313460294,0.43276609943279376,0.875,B,dense_day,No violation of traffic lights
337,0.09355713317517897,0.6329662996329521,0.25,B,sparse_day,No violation of traffic lights
338,0.24104405853112348,0.6329662996329521,0.25,B,sparse_day,No violation of traffic lights
339,0.20531550288082162,1.0,0.5,B,dense_day,No violation of traffic lights
340,0.4060587073187942,0.0,0.625,B,dense_day,No violation of traffic lights
342,0.3054011723802619,0.0,0.375,B,sparse_day,No violation of traffic lights
343,0.2890082062639371,0.46613279946610175,0.5,B,dense_day,No violation of traffic lights
344,0.07288897292509465,0.3660326993660613,0.5,A,dense_day,red-light running
345,0.38860387932847895,0.0,0.5,B,dense_day,No violation of traffic lights
346,0.14179723399101665,1.0,0.375,B,sparse_day,No violation of traffic lights
349,0.18423437736147888,0.0,0.625,A,dense_day,No violation of traffic lights
350,0.22386732554375494,1.0,0.75,A,dense_day,No violation of traffic lights
351,0.222162348940184,0.0,0.5,A,dense_day,No violation of traffic lights
353,0.2675331286855996,0.0,0.625,A,dense_day,No violation of traffic lights
356,0.4065953687754872,1.0,0.5,A,dense_day,No violation of traffic lights
359,0.30978299949124205,0.26593259926594326,0.625,A,dense_day,No violation of traffic lights
362,0.24755054894129333,0.7997997997998028,0.375,A,sparse_day,No violation of traffic lights
363,0.2793469033181449,1.0,0.5,A,dense_day,No violation of traffic lights
364,0.3491918590536175,0.0,0.5,B,dense_day,No violation of traffic lights
369,0.26220469798528834,0.0,0.625,A,dense_day,No violation of traffic lights
371,0.34204276145703555,1.0,0.625,A,dense_day,No violation of traffic lights
372,0.23048918034550753,0.0,0.125,B,sparse_day,No violation of traffic lights
373,0.46803560371868896,0.0,0.25,B,sparse_day,No violation of traffic lights
375,0.22544196723876656,0.49949949949948735,0.5,B,dense_day,No violation of traffic lights
377,0.2674014034769921,0.0,0.375,B,sparse_day,No violation of traffic lights
378,0.3640286568611648,0.5328661995328341,0.0,B,sparse_day,No violation of traffic lights
383,0.4279402926552895,0.6663329996663379,0.5,A,dense_day,No violation of traffic lights
384,0.6436496909998222,0.0,0.25,A,sparse_day,No violation of traffic lights
385,0.4700587060847454,0.4994994994994486,0.375,B,sparse_day,yellow-light running 
387,0.3448314760908318,0.0,0.5,A,dense_day,No violation of traffic lights
389,0.3685945741524124,0.0,0.5,A,dense_day,No violation of traffic lights
390,0.47658104162125353,0.8331664998331495,0.375,A,sparse_day,No violation of traffic lights
392,0.43962860051226293,0.6996996996996847,0.5,A,dense_day,No violation of traffic lights
393,0.21078598219170672,0.9332665999332675,0.375,A,sparse_day,No violation of traffic lights
394,0.3675351655518188,1.0,0.5,A,dense_day,No violation of traffic lights
395,0.11013982472679729,0.0,0.5,B,dense_day,red-light running
396,0.24976410005602986,0.0,0.25,B,sparse_day,No violation of traffic lights
397,0.8346518477014657,1.0,0.0,A,sparse_day,No violation of traffic lights
399,0.41595299748266845,0.0,0.375,A,sparse_day,No violation of traffic lights
406,0.46945776560402924,0.0,0.375,B,sparse_day,No violation of traffic lights
407,0.20360650397426838,0.36603269936602245,0.25,B,sparse_day,No violation of traffic lights
409,0.2425238008080626,0.6996996996996847,0.125,B,sparse_day,No violation of traffic lights
410,0.2271691573525775,0.0,0.5,B,dense_day,No violation of traffic lights
411,0.3937650282745439,1.0,0.375,A,sparse_day,No violation of traffic lights
414,0.32755014594704157,1.0,0.25,A,sparse_day,No violation of traffic lights
415,0.33033709849675114,0.0,0.5,B,dense_day,No violation of traffic lights
419,0.32817385854663456,0.7330663997330702,0.375,A,sparse_day,No violation of traffic lights
421,0.13866247086804945,0.0,0.625,B,dense_day,No violation of traffic lights
422,0.17139279394867218,0.0,0.625,A,dense_day,yellow-light running 
423,0.15527450926936098,0.5995995995996055,0.625,A,dense_day,red-light running
424,0.47092241836726595,0.7997997997997639,0.875,A,dense_day,yellow-light running 
426,0.15563462086611438,0.532866199532873,0.625,B,dense_day,No violation of traffic lights
428,0.20489368401660524,0.5662328995662198,0.625,B,dense_day,No violation of traffic lights
430,0.14316406595737208,0.4994994994995262,0.25,B,sparse_day,No violation of traffic lights
431,0.3541923646156961,0.7664330997663783,0.125,B,sparse_day,No violation of traffic lights
432,0.3237511640212231,0.0,0.625,A,dense_day,No violation of traffic lights
433,0.22888794731831258,1.0,0.0,B,sparse_day,No violation of traffic lights
434,0.19901270634610407,1.0,0.5,A,dense_day,No violation of traffic lights
435,0.36091357240938976,0.0,0.875,A,dense_day,No violation of traffic lights
437,0.15236712671083522,0.6663329996663379,0.625,A,dense_day,No violation of traffic lights
439,0.38220883782311027,0.0,0.625,B,dense_day,No violation of traffic lights
440,0.22932140506290738,0.4994994994995262,0.375,A,sparse_day,No violation of traffic lights
442,0.3650192433635924,0.8331664998331495,0.5,A,dense_day,No violation of traffic lights
445,0.42643431635341994,0.0,0.25,A,sparse_day,No violation of traffic lights
446,0.3879705888511468,0.7330663997330702,0.625,A,dense_day,No violation of traffic lights
447,0.5733384225240904,1.0,0.625,A,dense_day,No violation of traffic lights
449,0.06617276601127346,0.0,0.875,A,dense_day,No violation of traffic lights
450,0.21152006011066843,0.0,0.125,B,sparse_day,No violation of traffic lights
451,0.44471911372642486,1.0,0.375,A,sparse_day,No violation of traffic lights
455,0.3713115982100213,0.0,0.375,B,sparse_day,No violation of traffic lights
457,0.14841436323756468,0.3993993993993693,0.75,B,dense_day,No violation of traffic lights
458,0.2700548504419387,0.7664330997664559,0.5,B,dense_day,No violation of traffic lights
460,0.16556196268149356,0.0,0.5,A,dense_day,No violation of traffic lights
461,0.35814797467632536,0.3326659993326757,0.625,B,dense_day,No violation of traffic lights
465,0.04845703565795655,1.0,0.5,A,dense_day,No violation of traffic lights
466,0.705257934374792,0.0,0.5,B,dense_day,yellow-light running 
468,0.305577345141388,0.0,0.375,B,sparse_day,No violation of traffic lights
469,0.2971508189861139,0.0,0.5,B,dense_day,No violation of traffic lights
471,0.09495042413323963,0.46613279946610175,0.375,A,sparse_day,No violation of traffic lights
475,0.2526746035945689,0.0,0.25,A,sparse_day,red-light running
476,0.2220218418357455,0.0,0.875,A,dense_day,No violation of traffic lights
477,0.2825655461311209,0.0,0.125,A,sparse_day,No violation of traffic lights
478,0.34048751821660816,0.7330663997330702,0.75,A,dense_day,No violation of traffic lights
479,0.64586194220476,1.0,0.0,A,sparse_day,No violation of traffic lights
480,0.2849883306829158,0.0,0.625,A,dense_day,No violation of traffic lights
481,0.16701630022328143,0.0,0.75,A,dense_day,No violation of traffic lights
482,0.28051541349790565,0.0,0.25,B,sparse_day,No violation of traffic lights
483,0.4723175216323335,0.0,0.75,A,dense_day,No violation of traffic lights
485,0.19202114624289296,0.0,0.25,B,sparse_day,No violation of traffic lights
487,0.45136048763755793,0.0,0.5,A,dense_day,No violation of traffic lights
488,0.3791284309274598,0.0,0.125,B,sparse_day,No violation of traffic lights
489,0.2627297335399905,0.0,0.5,A,dense_day,No violation of traffic lights
490,0.355205559804182,0.0,0.5,B,dense_day,No violation of traffic lights
491,0.5639132246803827,0.0,0.5,B,dense_day,No violation of traffic lights
492,0.17089076347660354,1.0,0.25,B,sparse_day,No violation of traffic lights
493,0.13170529830075944,1.0,0.875,A,dense_day,No violation of traffic lights
496,0.5659138862078288,0.0,0.25,B,sparse_day,No violation of traffic lights
500,0.2486967434339506,0.5995995995996055,0.625,A,dense_day,red-light running
501,0.2209181885408842,0.0,0.375,B,sparse_day,No violation of traffic lights
502,0.1476041914932808,0.7997997997998415,0.625,A,dense_day,No violation of traffic lights
504,0.1381888734919957,0.7997997997997639,0.25,B,sparse_day,No violation of traffic lights
505,0.12191203475451005,0.29929929929932886,0.5,A,dense_day,No violation of traffic lights
507,0.5472753240239427,1.0,0.875,A,dense_day,No violation of traffic lights
508,0.5293493019733754,1.0,0.5,A,dense_day,No violation of traffic lights
509,0.21512375167011089,1.0,0.25,A,sparse_day,No violation of traffic lights
510,0.5191229106947256,1.0,0.75,A,dense_day,No violation of traffic lights
511,0.18088802375418694,0.0,0.0,A,sparse_day,No violation of traffic lights
512,0.5674105779132816,1.0,0.5,A,dense_day,No violation of traffic lights
513,0.17447021160495352,0.0,0.375,A,sparse_day,red-light running
516,0.3687447269382906,0.0,0.125,B,sparse_day,No violation of traffic lights
519,0.29461864335067084,0.0,0.75,A,dense_day,No violation of traffic lights
521,0.32622829336789694,0.0,0.375,B,sparse_day,No violation of traffic lights
522,0.28560654071483355,0.7664330997664947,0.5,B,dense_day,No violation of traffic lights
528,0.18107764461814116,0.0,0.0,B,sparse_day,No violation of traffic lights
529,0.3195598663223875,0.0,0.375,A,sparse_day,No violation of traffic lights
530,0.5041586171304527,0.0,0.25,B,sparse_day,No violation of traffic lights
532,0.2432864153325525,1.0,0.625,A,dense_day,No violation of traffic lights
533,0.3943053286686961,0.0,0.25,A,sparse_day,No violation of traffic lights
534,0.303034542295757,0.0,0.375,A,sparse_day,No violation of traffic lights
536,0.0053295175329319535,0.0,0.5,B,dense_day,red-light running
537,0.4488974290871158,0.0,0.5,A,dense_day,No violation of traffic lights
539,0.10428698346873914,1.0,0.5,B,dense_day,red-light running
540,0.36525282193034997,0.0,0.0,B,sparse_day,No violation of traffic lights
542,0.5655475741328279,0.16583249916586407,0.5,A,dense_day,No violation of traffic lights
543,0.745169100755716,1.0,0.5,A,dense_day,No violation of traffic lights
544,0.43206263216495394,1.0,0.625,A,dense_day,No violation of traffic lights
546,0.44338316292393326,1.0,0.625,A,dense_day,No violation of traffic lights
547,0.3140383525975224,0.0,0.625,A,dense_day,No violation of traffic lights
548,0.443325721537129,1.0,0.5,A,dense_day,No violation of traffic lights
549,0.23643719705228375,0.0,0.5,A,dense_day,red-light running
552,0.2706703992409691,0.0,0.75,A,dense_day,No violation of traffic lights
553,0.3572591354449589,0.0,0.25,A,sparse_day,No violation of traffic lights
555,0.12286242189818243,0.0,0.375,B,sparse_day,No violation of traffic lights
557,0.10227954562945948,0.0,0.0,B,sparse_day,No violation of traffic lights
558,0.34713234746221,0.666332999666299,0.25,B,sparse_day,No violation of traffic lights
560,0.2337764469136526,0.0,0.625,A,dense_day,No violation of traffic lights
561,0.11891407803102473,0.6663329996663767,0.875,A,dense_day,No violation of traffic lights
563,0.32613848779706317,0.0,0.5,A,dense_day,No violation of traffic lights
564,0.14504320203199586,0.0,0.625,A,dense_day,No violation of traffic lights
566,0.6121648610466859,0.0,0.125,A,sparse_day,No violation of traffic lights
569,0.45762562669287093,1.0,0.5,A,dense_day,No violation of traffic lights
570,0.20090358715814222,0.0,0.125,A,sparse_day,No violation of traffic lights
572,0.17781152996515065,0.0,0.375,B,sparse_day,No violation of traffic lights
574,0.3484068080928527,0.0,0.375,B,sparse_day,No violation of traffic lights
575,0.2689829724292109,0.0,0.125,A,sparse_day,No violation of traffic lights
579,0.3604896425854551,0.0,0.25,B,sparse_day,No violation of traffic lights
581,0.4531643212617465,0.0,0.125,B,sparse_day,No violation of traffic lights
586,0.2953320319903699,0.0,0.25,A,sparse_day,No violation of traffic lights
587,0.10302176113709201,0.899899899899882,0.125,A,sparse_day,No violation of traffic lights
588,0.2535189996645466,1.0,0.125,B,sparse_day,No violation of traffic lights
590,0.30103946574609114,1.0,0.125,A,sparse_day,No violation of traffic lights
591,0.43569666722692946,1.0,0.375,A,sparse_day,No violation of traffic lights
592,0.26227321468177417,0.0,0.25,B,sparse_day,No violation of traffic lights
593,0.3157187540640186,1.0,0.75,A,dense_day,No violation of traffic lights
594,0.38446959111764917,0.36603269936602245,0.5,A,dense_day,No violation of traffic lights
595,0.23557082256208514,1.0,0.375,A,sparse_day,No violation of traffic lights
597,0.26522212381563626,1.0,0.625,A,dense_day,No violation of traffic lights
598,0.14631578743364845,1.0,0.375,A,sparse_day,No violation of traffic lights
599,0.3528471702620399,0.8331664998330331,0.625,A,dense_day,No violation of traffic lights
600,0.44614533788929683,0.43276609943271616,0.5,A,dense_day,No violation of traffic lights
601,0.21292325263051162,0.0,0.0,B,sparse_day,No violation of traffic lights
602,0.797014844204767,0.0,0.25,A,sparse_day,yellow-light running 
604,0.40741424810987853,0.0,0.125,B,sparse_day,No violation of traffic lights
605,0.3931237429555357,0.5995995995996055,0.25,B,sparse_day,No violation of traffic lights
